2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
digital audio playback device,multidimensional space,secondary identity,original message,communication system,product category,social network,top term,browser application,web page,mobile device,electronic message,character stream,mobile device,client device,client device,network request,access code
wireless communication link,recommendationspecific query,primary identity,reply message,email message,news item,digital file,social network,abstract phrase,threshold degree,anchor term,mobile device,social graph,content item,content item,mobile device,rewrite rule,access device
user request copy,multidimensional data,user identifier,social network,host system,medium content,travel time,demographic information,executable code segment,candidate user,map view,instant message,interactive element,social network,social graph,target word,natural language user request,remote web browser
mobile digital audio player,multidimensional cube,common graphical user interface,mobile telephone,delivers email message,social network environment,trust value,text phrase,data center,particular embodiment access,particular embodiment,content item,content item,future activity,mobile device,social graph,network resource,user identifier
enable wireless communication,variable information,secondlevel password,reply source indicator,certain user,real life friend,multiple identity,external system,text phrase,search query,timeline unit,geographic location,electronic message,online system,medium item,content identifier,object graph,present geographic location
digital playback device andor,process system,onetime challenge,destination indicator,particular moment,privacy summary,master keywords,picture file,text value,user comment,social network,user profile,social network,client device,online system,user profile,mobile device,content creation event
digital audio content,computer software,additional service,memory device,electronic data,social network,data unit,thirdparty application server,response phase,user node,multimedia content,visible portion,digital file,social graph,social network,content item,source video,access device techniques
addition digital content,retrieve data,account holder,cpuintensive computational task,instant message,digital medium,temporal period,calendar entry,social network,access code,content object,input tool,medium item,timeline unit,computerreadable medium,computer system,bit rate,geographic location
digital audio player,None,multiple identity,visibility preference,various type,central computer,gift account,authentication code,social captcha,social network,content item,social graph,noncompletion character,computerreadable medium,user account,online system,antenna element,retrieve message data
None,None,secondary identity interacts,contactability preference,None,data item,trust level,user profile,response portion,participant list,search result,user interface,user interface,medium content item,medium presentation system,machine translation system,network access component,message experience
None,None,primary identity interacts,personal information,None,remote content,social network member,topic frequencies,client application,data center,database client,web page,online system,storage component,medium presentation,client system,video quality metric,message data
None,None,popup popunder,timeofday competitor,None,online community,social network environment,rank analysis,external system,instant message,access rule,data request,story specification,communication message,party system,particular embodiment,client device,application website
None,None,list contains,software rule,None,community flyer,social network database,random sample,remote host,current location,database query,subordinate user,wireless device,particular embodiment,search result,story unit,data store,application operative
None,None,internet advertisement,recent internet browser software,None,privacy setting selection,time exceeds,public forum,browser plugin,client device,user interface,browser request,web page,text query,client system,audio fingerprint,pilot symbol,access code generator
None,None,dynamic html advertisement,personal computer,None,social network member,time block,graphical format,challenge question,virtual credit,configuration file,particular embodiment,geographic location,organic content item,optical beam,party account,antenna subarray,data representative
None,None,different publisher,payperclick search engine ppcses,None,social timeline,adjacent appointment,gender information,cost function,malicious group,multimedia object,communication system,test audio fingerprint,external system,data service package,visualmedia item,text string,content instance
None,None,summon information,mimic human,None,computer program,geographic location,discussion members comment,identification information,content object,candidate node,alert gate,user device,privacy setting,resource reference,visual content,new version,processor circuit
None,None,sensitive wallet,member search result,None,system method,gps identifier,certain topic,state object,markup language document,news feed story,profile information,screen area,visual medium,web page,object collection,malicious group,None
None,None,response mechanism,keyword bid management system,None,video file testimonial,source language hypothesis,average age,particular position,social information,source id,user interaction,audio signal,touch controller,access code,collection update,allowable deviation,None
None,None,flexible wallet account,internet access,None,user profile digital photo digital audio,communication interface,available translation,integration rule,visual tag,conversation thread,target user,interest metric,additional user,search query,audio signal,computerreadable medium,None
